Name, Operon, Challenge, WT
aaeA,aaeXAB,104.69,152.23
aaeB,aaeB,41,68.73
aaeB,aaeXAB,41,68.73
aaeR,aaeR,379.02,385.45
aaeX,aaeXAB,749.44,1127.25
aas,aas-lplT,43.25,53.23
aat,aat,30.12,76.75
abgA,abgABT-ogt,16.2,30.95
abgB,abgABT-ogt,264.33,402.25
abgR,abgR,102.78,223.22
abgT,abgABT-ogt,77.87,132.88
abrB,abrB,174.42,271.31
accA,accA,53.09,42.27
accB,accBC,613.13,689.27
accC,accBC,18.87,25.05
accD,accD,32.49,7.39
aceA,aceBAK,953.5,88.11
aceB,aceBAK,548.75,122.43
aceE,pdhR-aceEF-lpdA,65.36,71.09
aceE,aceEF,65.36,71.09
aceF,aceEF,44.87,25.01
aceF,pdhR-aceEF-lpdA,44.87,25.01
aceK,aceK,149.14,62.3
aceK,aceBAK,149.14,62.3
ackA,ackA-pta,1006.11,1124.43
ackA,ackA,1006.11,1124.43
acnA,acnA,234.88,298.24
acnB,acnB,165.1,52.07
acpH,acpH,328.36,360.25
acpP,fabG-acpP,1343.93,85.61
acpP,fabDG-acpP,1343.93,85.61
acpP,acpP-fabF,1343.93,85.61
acpS,acpS,33.44,53.26
acpS,pdxJ-acpS,33.44,53.26
acpS,rnc-era-recO-pdxJ-acpS,33.44,53.26
acpT,acpT,122.78,103.52
acrA,acrAB,92.48,45.32
acrB,acrB,57.97,57.97
acrB,acrAB,57.97,57.97
acrD,acrD,57.28,60.81
acrE,acrEF,44.01,93.45
acrF,acrEF,43.77,54.46
acrR,acrR,851.99,1743.06
acs,acs-yjcHG,101.89,75.96
actP,acs-yjcHG,30.89,36.89
actP,actP,30.89,36.89
ada,ada-alkB,31.9,88.91
add,add,207.68,344.25
ade,ade,96.14,164.59
adhE,adhE,90.46,60.66
adhP,adhP,33.6,26.76
adiA,adiA,132.95,271.37
adiC,adiC,60.31,65.71
adiY,adiY,11.15,35.5
adk,adk,59.26,83.89
adrA,adrA,98.94,175.75
aegA,aegA,51.48,81.98
aer,aer,379.73,306.82
aes,aes,557.4,796.12
afuB,insA-2B-2-afuBC-insAB-2,61.02,116.61
afuC,insA-2B-2-afuBC-insAB-2,109.52,174.42
agaA,kbaZ-agaVWA,30.61,109.68
agaB,agaSYBCDI,17.81,28.36
agaC,agaSYBCDI,15.85,33.65
agaD,agaSYBCDI,42.9,76.86
agaI,agaSYBCDI,39.32,35.79
agaR,agaR,235.93,217.1
agaS,agaSYBCDI,143.4,199.1
agaV,kbaZ-agaVWA,17.92,99.88
agaW,kbaZ-agaVWA,33.97,18.04
agp,agp,598.39,1067.34
ahpC,ahpCF,624.98,431.71
ahpF,ahpF,51.53,82.06
ahpF,ahpCF,51.53,82.06
aidB,aidB,169.77,112.31
ais,ais,338.06,246.76
alaA,alaA-yfbR,142.96,172.14
alaA,alaA,142.96,172.14
alaC,alaC,71.98,60.05
alaE,alaE,443.56,330.66
alaS,alaS,67.79,33.42
alaT,rrsA-ileT-alaT-rrlA-rrfA,558.79,0
alaU,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,1117.59,0
alaV,rrsH-ileV-alaV-rrlH-rrfH,670.55,0
alaW,alaWX,1732.26,0
alaX,alaWX,1229.34,0
aldA,aldA,197.6,89.24
aldB,aldB,46.91,48.34
alkA,alkA,35.02,39.83
alkB,alkB,6.52,0
alkB,ada-alkB,6.52,0
allA,allA,0,56.01
allB,gcl-hyi-glxR-ybbVW-allB-ybbY-glxK,21.83,34.76
allC,allDC-ylbA,27.49,49.25
allD,allDC-ylbA,44.49,57.97
allE,allDC-ylbA,37.82,25.81
allE,allE,37.82,25.81
allR,allR,166.54,0
allS,allS,22.91,58.37
alpA,alpA,0,0
alr,alr,11.8,81.41
alsA,alsRBACE,41.55,75
alsA,alsBACE,41.55,75
alsB,alsRBACE,27.22,65.03
alsB,alsBACE,27.22,65.03
alsC,alsBACE,90.91,117.21
alsC,alsRBACE,90.91,117.21
alsE,alsBACE,42.71,38.87
alsE,alsE,42.71,38.87
alsE,alsRBACE,42.71,38.87
alsK,alsK,228.32,269.08
alx,alx,30.77,21
amiA,amiA-hemF,39.05,54.42
amiB,yjeFE-amiB-mutL-miaA-hfq-hflXKC,34.91,45.49
amiB,yjeE-amiB-mutL-miaA-hfq-hflXKC,34.91,45.49
amiC,amiC,60.96,113.26
amiD,ybjQ-amiD,86.88,179.06
amn,amn,87.56,83.67
ampC,ampC,93.62,143.14
ampD,ampDE,23.08,49.01
ampE,ampDE,69.54,221.49
ampG,ampG,40.28,68.73
ampH,ampH,47.68,75.93
amtB,glnK-amtB,69.3,126.13
amyA,amyA,91.33,122.72
anmK,anmK,99.48,134.05
ansA,ansA-pncA,33.41,93.11
ansB,ansB,202.81,135.66
ansP,ansP,31.14,45.09
