aaeA,aaeXAB,113.05,152.23
aaeB,aaeXAB,63.64,68.73
aaeB,aaeB,63.64,68.73
aaeR,aaeR,432.39,385.45
aaeX,aaeXAB,904.8,1127.25
aas,aas-lplT,33.57,53.23
aat,aat,18.7,76.75
abgA,abgABT-ogt,5.03,30.95
abgB,abgABT-ogt,382.95,402.25
abgR,abgR,87.02,223.22
abgT,abgABT-ogt,86.34,132.88
abrB,abrB,163.7,271.31
accA,accA,0,42.27
accB,accBC,629.82,689.27
accC,accBC,14.65,25.05
accD,accD,7.2,7.39
aceA,aceBAK,70.72,88.11
aceB,aceBAK,82.3,122.43
aceE,pdhR-aceEF-lpdA,66.81,71.09
aceE,aceEF,66.81,71.09
aceF,aceEF,3.48,25.01
aceF,pdhR-aceEF-lpdA,3.48,25.01
aceK,aceBAK,45.54,62.3
aceK,aceK,45.54,62.3
ackA,ackA-pta,1293.22,1124.43
ackA,ackA,1293.22,1124.43
acnA,acnA,199.54,298.24
acnB,acnB,38.06,52.07
acpH,acpH,317.15,360.25
acpP,fabG-acpP,55.63,85.61
acpP,fabDG-acpP,55.63,85.61
acpP,acpP-fabF,55.63,85.61
acpS,pdxJ-acpS,17.3,53.26
acpS,rnc-era-recO-pdxJ-acpS,17.3,53.26
acpS,acpS,17.3,53.26
acpT,acpT,190.59,103.52
acrA,acrAB,71.77,45.32
acrB,acrB,52.32,57.97
acrB,acrAB,52.32,57.97
acrD,acrD,40.22,60.81
acrE,acrEF,74,93.45
acrF,acrEF,53.08,54.46
acrR,acrR,946.09,1743.06
acs,acs-yjcHG,47.11,75.96
actP,actP,71.91,36.89
actP,acs-yjcHG,71.91,36.89
ada,ada-alkB,37.14,88.91
add,add,269.74,344.25
ade,ade,130.57,164.59
adhE,adhE,39.41,60.66
adhP,adhP,6.52,26.76
adiA,adiA,200.55,271.37
adiC,adiC,54.2,65.71
adiY,adiY,17.3,35.5
adk,adk,10.22,83.89
adrA,adrA,218.56,175.75
aegA,aegA,59.93,81.98
aer,aer,164.69,306.82
aes,aes,1057.49,796.12
afuB,insA-2B-2-afuBC-insAB-2,56.83,116.61
afuC,insA-2B-2-afuBC-insAB-2,138.52,174.42
agaA,kbaZ-agaVWA,23.76,109.68
agaB,agaSYBCDI,13.82,28.36
agaC,agaSYBCDI,24.6,33.65
agaD,agaSYBCDI,49.94,76.86
agaI,agaSYBCDI,165.68,35.79
agaR,agaR,252.29,217.1
agaS,agaSYBCDI,199.76,199.1
agaV,kbaZ-agaVWA,13.91,99.88
agaW,kbaZ-agaVWA,0,18.04
agp,agp,1247.3,1067.34
ahpC,ahpCF,724.67,431.71
ahpF,ahpF,42.1,82.06
ahpF,ahpCF,42.1,82.06
aidB,aidB,295.96,112.31
ais,ais,76.53,246.76
